posticketid,dialoguniqueid,posid,busregno,routeid,tripid,status,datetime
1,9DC6082DD092E00B01A3FEF5A6470DC9,82761053,NC-7429,1405,36,1,05/26/2021 03:30
2,E925B6087FC1325AEF0D00BE7122D67F,82761197,JW-9916,1405,70,1,05/26/2021 03:30
3,0B4199496829D92BB7E7342401056E1A,82760697,NB-7122,1371,95,1,05/26/2021 03:30
4,A1FDE025103820F0459356B8855415D0,82760699,NB-1763,519,122,1,05/26/2021 03:30
5,B49CDA1AB45231E7A171D59E6C2C6AC5,82760420,NB-2220,1431,30,1,05/26/2021 03:30
6,08D4B43EFF368E9DD9CA113218F7FEA2,82761185,NC-5184,1366,64,1,05/26/2021 03:30
7,C99A79BC89787F5C37DCBD6BD4C539AC,82760384,NA-0154,1382,145,1,05/26/2021 03:30
8,D212C5B797A05199D26F329DC8727739,82761053,NC-7429,1405,37,1,05/26/2021 03:30
9,90763FE748FA26AB0281EE1F2DB62787,82760842,NA-8471,417,32,1,05/26/2021 03:30
10,0EBDFAD7E1BA051563458E93E93B735D,82760384,NA-0154,1382,146,1,05/26/2021 03:30
11,5CBBEF2183787B7CB265526A72055884,82759649,NA-8875,1441,158,1,05/26/2021 03:30
12,AF49160D64DB154028A8A944B0E2741E,82759649,NA-8875,1441,159,1,05/26/2021 03:30
13,F88C86E319ED7A09D35EF868B93A7D3E,82759649,NA-8875,1441,161,1,05/26/2021 03:30
14,9FDAB527DAFFE24FAB4CFD999DE8EF96,82759649,NA-8875,1441,163,1,05/26/2021 03:30
15,293EC4F5019A3F9C063B309FB1C4D4B6,82759649,NA-8875,1441,165,1,05/26/2021 03:30
16,3B750FC2C5206C8A5F0E924AB66DC24C,82759649,NA-8875,1441,167,1,05/26/2021 03:30
17,430A27AF9C0EA47662C7DBA0D160BF55,82759788,ND-0092,1431,247,1,05/26/2021 03:30
18,247B74E1C2C5DC122EE20A21CD6736DF,82760592,NC-2846,1127,66,1,05/26/2021 03:30
19,5DBC7A1A3AEB0D741296B61252370E0E,82760585,NA-5467,1433,58,1,05/26/2021 03:30
20,56B5374284715FAD8A16B610A6277B42,82759640,JG-0746,1470,24,1,05/26/2021 03:30
21,5E7EAEC1AF06F79FA0D60646EF7EB838,82759645,NA-2726,1476,41,1,05/26/2021 03:30
22,AC4A96ACC3EBD369E92180E64633D0D9,82759645,NA-2726,1476,42,1,05/26/2021 03:30
23,998F2CDB2E0BC0CADEC5B649081253BC,82759645,NA-2726,1476,44,1,05/26/2021 03:30
24,AB930B890B6750E805B7F71806D21EBC,82759645,NA-2726,1476,45,1,05/26/2021 03:30
25,407A09EC9F10AA66321499CB6E2027B3,82759645,NA-2726,1476,46,1,05/26/2021 03:30
26,4A8A424C0B26D280F6D3E9DC99043B44,82760384,NA-0154,1382,147,1,05/26/2021 03:30
27,419397A6B18700EF66EEC8296191F94B,82760355,NA-7724,330,91,1,05/26/2021 03:30
28,0B1A18539FC127DF2BE8E0329E886780,82760885,NB-0994,330,70,1,05/26/2021 03:30
29,E25CCB7C42EF85FB5CC0DBE70026C3EE,82760386,JB-6748,1435,39,1,05/26/2021 03:30
30,314EC62F6BE82091668E310A937BA3D6,82760892,HS-6367,330,59,1,05/26/2021 03:30
31,9209FF33B99173F2F6353BA9789A2B75,82760420,NB-2220,1431,31,1,05/26/2021 03:30
32,A980980D1371F93AD936CAE882BAB32E,82759788,ND-0092,1431,248,1,05/26/2021 03:30
33,FD169613332D5C955A07BED6C493D7C8,82760551,ND-8224,1127,76,1,05/26/2021 03:30
34,2C0A4BC9FBE70082C45582F3CE179F6B,82760866,ND-8541,1434,14,1,05/26/2021 03:30
35,78163DBB7F96F876837F36DF091760CA,82760866,ND-8541,1434,15,1,05/26/2021 03:30
36,CCDF1E0CA6391F1E424C91E02EDDABFA,82759649,NA-8875,1441,168,1,05/26/2021 03:30
